method,sample_id,seed,class,coverage_target,coverage,occlusion_ratio,lpips,psnr,ssim,roi_status,scoring_mode,selected_for_contact_sheet
flux2_prompt,emblem_x_banner_cov50_0,0,emblem_x_banner,0.5,cov50,0.497214,0.22170136868953705,14.521356509830984,0.8118879705831397,ok,located,true
flux2_prompt,emblem_x_banner_cov50_0,1,emblem_x_banner,0.5,cov50,0.497214,0.2239048033952713,14.597970261655535,0.8052335441658247,ok,located,false
flux2_prompt,emblem_x_banner_cov50_0,2,emblem_x_banner,0.5,cov50,0.497214,0.22312328219413757,14.695565309947076,0.810521723835388,ok,located,false
flux2_prompt,emblem_x_banner_cov50_0,3,emblem_x_banner,0.5,cov50,0.497214,0.21964000165462494,14.7357106850062,0.8170310747320139,ok,located,false
flux2_prompt,emblem_x_banner_cov50_0,4,emblem_x_banner,0.5,cov50,0.497214,0.21813829243183136,14.654910908877131,0.8190159479924706,ok,located,false
flux2_prompt,emblem_x_banner_cov50_1,0,emblem_x_banner,0.5,cov50,0.486007,0.18797945976257324,14.56318239738443,0.8400093199359547,ok,located,true
flux2_prompt,emblem_x_banner_cov50_1,1,emblem_x_banner,0.5,cov50,0.486007,0.18717071413993835,14.741868526575532,0.8395900503060437,ok,located,false
flux2_prompt,emblem_x_banner_cov50_1,2,emblem_x_banner,0.5,cov50,0.486007,0.18799203634262085,14.709947568942068,0.8392787618356752,ok,located,false
flux2_prompt,emblem_x_banner_cov50_1,3,emblem_x_banner,0.5,cov50,0.486007,0.1878310739994049,14.616224487441984,0.8401920024851025,ok,located,false
flux2_prompt,emblem_x_banner_cov50_1,4,emblem_x_banner,0.5,cov50,0.486007,0.18871331214904785,14.631223868640038,0.839401542102456,ok,located,false
flux2_prompt,emblem_x_banner_cov50_2,0,emblem_x_banner,0.5,cov50,0.505033,0.3020353615283966,12.435614013759906,0.7424164286930423,ok,located,false
flux2_prompt,emblem_x_banner_cov50_2,1,emblem_x_banner,0.5,cov50,0.505033,0.2926442325115204,12.701157071832858,0.7632166486126669,ok,located,false
